"ID" "chr" "start" "end" "state" "median" "event_scale" "size" "num.marks" "arm.size.perc" "states2"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12p" 6375045 6964447 "2" -0.36875 "" 589402 53 0.0166028732394366 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12p" 6964949 9869808 "3" 0.16 "" 2904859 103 0.081827014084507 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12p" 9881489 10572761 "4" 0.395625 "" 691272 30 0.0194724507042254 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12p" 10588063 12829981 "3" 0.149375 "" 2241918 40 0.0631526197183099 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12p" 12850982 29487488 "4" 0.323125 "large_scale" 16636506 153 0.468633971830986 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12p" 29412474 34209675 "3" 0.0575 "focal" 4797201 52 0.135132422535211 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 38155476 53300375 "3" -0.1475 "focal" 15144899 256 0.154894923420799 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 53299695 54003337 "2" -0.36625 "" 703642 29 0.00719652034032437 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 53999022 56113910 "3" 0.0025 "" 2114888 69 0.0216300824986398 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 56104614 56731628 "2" -0.33625 "" 627014 43 0.00641280509785962 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 56714612 111880249 "3" -0.044375 "large_scale" 55165637 527 0.564208260390156 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 111899263 113937255 "2" -0.3125 "" 2037992 35 0.0208436262778776 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 114353911 131237523 "3" -0.154375 "focal" 16883612 250 0.172677664460258 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "12q" 131295522 133214832 "2" -0.481875 "" 1919310 54 0.019629802448387 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "13q" 18206570 30196881 "3" 0.04625 "focal" 11990311 128 0.124040700929509 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "13q" 30202630 36697839 "4" 0.3475 "" 6495209 52 0.0671934428592934 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "13q" 36819222 102773811 "3" 0.09375 "large_scale" 65954589 349 0.682305358808267 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "13q" 102784281 110508179 "4" 0.4275 "" 7723898 40 0.0799043262370789 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "13q" 110523066 114346637 "3" -0.02625 "" 3823571 66 0.0395551397202079 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 19062316 22484462 "3" 0.006875 "" 3422146 100 0.0380899864362247 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 22202583 24232352 "2" -0.31625 "" 2029769 106 0.0225922195250201 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 24216857 74560048 "3" 0.04375 "large_scale" 50343191 516 0.560341803753046 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 74653437 76254342 "4" 0.37125 "" 1600905 36 0.017818775042235 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 76235817 95158010 "3" 0.1825 "focal" 18922193 155 0.210612310145045 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 95157645 100861026 "4" 0.4275 "" 5703381 61 0.0634811328711931 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 100836269 102502477 "3" 0.133125 "" 1666208 29 0.0185456260837291 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 102501767 104115582 "4" 0.325 "" 1613815 47 0.0179624690064585 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 104117405 105100131 "3" 0.00124999999999999 "" 982726 29 0.0109381715480653 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 105095045 105644790 "2" -0.66875 "" 549745 23 0.00611890304895886 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "14q" 105647924 106875071 "1" -1.17375 "" 1227147 68 0.013658684517041 "del"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 20228620 22373570 "3" -0.10375 "" 2144950 10 0.0258455147569943 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 22495570 24912924 "4" 0.43625 "" 2417354 31 0.0291278391010882 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 24675775 40910337 "3" 0.025625 "focal" 16234562 209 0.195617898666327 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 40929340 42743202 "4" 0.70625 "" 1813862 55 0.0218560792037815 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 42800968 44884694 "3" -0.07625 "" 2083726 56 0.0251077978892434 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 44827060 52938518 "4" 0.30375 "" 8111458 107 0.097738785258276 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 53513741 70854157 "3" 0.0125 "focal" 17340416 235 0.208942855367454 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 70848883 73368958 "4" 0.359375 "" 2520075 34 0.0303655729043718 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 73443164 78501453 "3" 0.09375 "" 5058289 119 0.0609497111795808 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 78507564 81403570 "4" 0.395625 "" 2896006 55 0.0348953429261027 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 81633426 84642066 "3" 0.00124999999999999 "" 3008640 80 0.0362525231443545 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 84633874 88632281 "4" 0.3375 "" 3998407 41 0.0481786928007502 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 88635670 92600545 "3" -0.11375 "" 3964875 86 0.0477746499089199 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 92592574 100646655 "4" 0.4225 "" 8054081 79 0.0970474227089336 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "15q" 100782417 101976266 "3" 0.105 "" 1193849 34 0.0143852499811757 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16p" 11555 1610328 "3" -0.1125 "" 1598773 118 0.0434449184782609 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16p" 1612337 2178129 "2" -0.361875 "" 565792 48 0.0153747826086957 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16p" 2177180 12081902 "3" -0.0375 "focal" 9904722 228 0.269150054347826 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16p" 12086746 18336736 "2" -0.430625 "focal" 6249990 68 0.169836684782609 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16p" 18318008 35786887 "3" -0.119375 "large_scale" 17468879 423 0.474697798913043 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16q" 46578591 55707645 "3" -0.02375 "focal" 9129054 96 0.170514310817789 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16q" 55760516 57284672 "4" 0.4325 "" 1524156 49 0.0284684930025386 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16q" 57358783 67528768 "3" -0.13375 "focal" 10169985 121 0.189957029863362 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16q" 67518418 68310946 "4" 0.364375 "" 792528 54 0.0148029977392839 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16q" 68290087 89938761 "3" -0.06875 "large_scale" 21648674 372 0.404358296843132 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "16q" 89948697 90175865 "2" -0.6825 "" 227168 13 0.00424308969580587 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17p" 64099 1738585 "4" 0.36875 "" 1674486 48 0.0667125896414343 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17p" 1742836 7576952 "3" 0.050625 "focal" 5834116 225 0.232434900398406 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17p" 7577955 8163546 "4" 0.4175 "" 585591 42 0.0233303187250996 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17p" 8172457 17281273 "3" -0.03625 "large_scale" 9108816 160 0.362901035856574 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17p" 17303335 18551705 "2" -0.429375 "" 1248370 46 0.0497358565737052 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17p" 18511262 19383544 "3" 0.12125 "" 872282 34 0.0347522709163347 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17p" 19383442 22205009 "4" 0.3625 "focal" 2821567 53 0.112413027888446 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 27237859 28617377 "3" -0.030625 "" 1379518 53 0.0237204040666095 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 28607963 32151504 "2" -0.3725 "" 3543541 118 0.0609301396187635 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 32159311 37052890 "3" -0.056875 "" 4893579 121 0.0841436438030346 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 37084992 38904600 "2" -0.33 "" 1819608 47 0.0312876214756423 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 38918801 43220041 "3" -0.23375 "" 4301240 175 0.0739585498612293 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 43216941 48048107 "2" -0.4 "" 4831166 152 0.0830704707244598 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 48048329 81891586 "3" -0.08875 "large_scale" 33843257 687 0.581924796175265 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "17q" 81890790 83240804 "2" -0.44125 "" 1350014 73 0.0232130915113683 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "18p" 47221 6728981 "4" 0.310625 "large_scale" 6681760 62 0.361176216216216 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "18p" 6728821 14632806 "3" 0.2075 "large_scale" 7903985 103 0.427242432432432 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "18q" 20944612 80202992 "3" -0.04625 "large_scale" 59258380 379 0.957737737700528 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19p" 60951 2950644 "3" 0.105 "focal" 2889693 153 0.110293625954198 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19p" 2949661 3985463 "4" 0.4125 "" 1035802 43 0.039534427480916 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19p" 3982507 6073527 "3" 0.04125 "" 2091020 78 0.0798099236641221 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19p" 6109322 10320678 "4" 0.385 "focal" 4211356 159 0.160738778625954 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19p" 10316212 11667030 "3" 0.11625 "" 1350818 65 0.0515579389312977 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19p" 11676606 12294883 "4" 0.3625 "" 618277 34 0.023598358778626 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19p" 12284337 24163484 "3" 0.00749999999999998 "large_scale" 11879147 423 0.453402557251908 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 27681072 36033343 "3" -0.0225 "focal" 8352271 160 0.257646058858862 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 36034984 37855215 "2" -0.43625 "" 1820231 76 0.0561494404770542 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 37829050 40842039 "3" -0.08625 "" 3012989 128 0.0929429542258752 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 40843541 41374419 "4" 0.3325 "" 530878 23 0.0163762196455162 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 41386371 50369331 "3" 0.025 "focal" 8982960 404 0.277101190908054 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 50384204 51630401 "4" 0.37625 "" 1246197 72 0.0384419693292684 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 51639478 53512616 "3" 0.054375 "" 1873138 92 0.0577814852270445 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 53519527 55120383 "4" 0.42375 "" 1600856 77 0.0493822864704178 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 55132698 56494280 "3" -0.0575 "" 1361582 70 0.0420012995403487 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 56507850 57460120 "4" 0.360625 "" 952270 38 0.0293750780439869 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "19q" 57466663 58599355 "3" 0.039375 "" 1132692 86 0.0349406322784501 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 14404 3630127 "3" -0.0875 "" 3615723 161 0.0293008346839546 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 3630767 6393767 "2" -0.33375 "" 2763000 27 0.0223905996758509 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 6393555 16057311 "3" 0.059375 "" 9663756 170 0.0783124473257698 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 16057769 20787323 "2" -0.40875 "" 4729554 98 0.038327017828201 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 20806292 42903912 "3" -0.07 "focal" 22097620 481 0.179073095623987 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 42924460 44721902 "2" -0.45 "" 1797442 49 0.0145659805510535 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 44739818 63438553 "3" 0.035 "focal" 18698735 247 0.151529457050243 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 63440770 70151945 "4" 0.34875 "" 6711175 47 0.0543855348460292 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 70144805 76634603 "3" 0.11625 "" 6489798 32 0.0525915559157212 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 76699789 89936611 "4" 0.33375 "focal" 13236822 111 0.107267601296596 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1p" 89993593 121568791 "3" 0.07125 "focal" 31575198 353 0.25587680713128 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 143735983 145095528 "3" -0.0625 "" 1359545 14 0.0108281597893893 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 145095974 147172550 "2" -0.398125 "" 2076576 48 0.0165389867513109 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 147172744 154979251 "3" -0.13875 "" 7806507 256 0.0621752904045004 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 154975693 155324176 "2" -0.424375 "" 348483 35 0.00277550916511463 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 155320894 206102449 "3" -0.090625 "large_scale" 50781555 646 0.404452071754641 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 206106936 207144972 "4" 0.3475 "" 1038036 29 0.00826748630985996 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 207127010 220144351 "3" -0.09875 "focal" 13017341 106 0.103677221703562 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 220148293 235448952 "2" -0.3875 "focal" 15300659 227 0.121862814790947 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 235336806 248825915 "3" 0.063125 "focal" 13489109 125 0.107434640021838 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "1q" 248826377 248937043 "2" -0.785 "" 110666 5 0.000881404536997717 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "20p" 270863 653200 "2" -0.56875 "" 382337 12 0.0136062989323843 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "20p" 646626 24992751 "3" -0.08375 "large_scale" 24346125 244 0.866410142348754 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "20p" 24992312 26196891 "2" -0.29875 "" 1204579 29 0.0428675800711744 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "20q" 28563850 45547662 "3" -0.19875 "large_scale" 16983812 266 0.467305028617109 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "20q" 45535159 46736347 "2" -0.3675 "" 1201188 46 0.0330503654135201 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "20q" 46894624 63378401 "3" -0.116875 "large_scale" 16483777 192 0.453546699804676 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "20q" 63400208 64304820 "2" -0.39875 "" 904612 45 0.0248901563764001 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "21p" 5022531 9838011 "4" 0.34 "large_scale" 4815480 20 0.40129 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "21q" 13843133 17819386 "4" 0.33875 "focal" 3976253 28 0.114556466363006 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "21q" 17793488 36487760 "3" -0.00562500000000002 "large_scale" 18694272 134 0.538584879168624 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "21q" 36485983 40385358 "4" 0.440625 "focal" 3899375 52 0.112341599245381 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "21q" 41007244 43812567 "3" 0.09125 "" 2805323 61 0.0808217912408658 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "21q" 43865223 46097530 "4" 0.34 "" 2232307 69 0.0643131113028779 "neut"
"NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1" "21q" 46098112 46669249 "3" -0.13 "" 571137 20 0.0164545456562165 "neut"
