GENE_ID	NS.2108.003.UDP0200_i7...UDP0200_i5.RNA_0005_5598_Sain_R1	NS.2108.003.UDP0201_i7...UDP0201_i5.RNA_0006_5598_Tumeur_R1	NS.2108.003.UDP0202_i7...UDP0202_i5.RNA_0009_5268_Sain_R1	NS.2108.003.UDP0203_i7...UDP0203_i5.RNA_0010_5268_Tumeur_R1	NS.2108.003.UDP0204_i7...UDP0204_i5.RNA_0011_5402_Sain_R1	NS.2108.003.UDP0205_i7...UDP0205_i5.RNA_0012_5402_Tumeur_R1	NS.2108.003.UDP0206_i7...UDP0206_i5.RNA_0017_5487_Sain_R1	NS.2108.003.UDP0207_i7...UDP0207_i5.RNA_0018_5487_Tumeur_R1
ENSG00000007216	41	0	124	17	4	23	130	3092
ENSG00000007237	2945	945	8613	2166	10474	3412	4344	3538
ENSG00000007255	1026	1560	920	565	897	798	783	627
ENSG00000007264	1273	105	1108	167	2025	1506	1108	276
ENSG00000007306	8	38	13	37	24	4	5	153
ENSG00000007312	106	168	550	506	315	153	267	99
ENSG00000007314	10	4431	15	3695	81	21	10	12
ENSG00000007341	1119	1355	1579	1251	1529	1480	809	800
ENSG00000007350	68	4	36	9	15	19	88	6
ENSG00000007372	251	122	332	45	265	217	215	49
ENSG00000007376	840	3670	1292	1822	1493	819	737	1558
ENSG00000007384	5279	7253	6818	4886	4651	5768	4452	5457
ENSG00000007392	7364	10547	6561	2298	6513	5424	4909	7799
ENSG00000007402	32254	111396	20323	1235	22026	18228	19707	12104
ENSG00000007516	1036	6016	5278	1342	1889	1711	1025	2699
ENSG00000007520	2718	4519	3131	2560	3150	2126	2351	2412
ENSG00000007541	5609	13023	7361	2942	6180	4246	4465	7867
ENSG00000007545	4222	5126	7417	3185	7469	4132	2960	7994
ENSG00000007866	4580	5935	3867	5154	4459	5142	4319	6811
ENSG00000007908	1591	319	432	222	2018	997	13417	86
ENSG00000007923	3287	5832	4155	4884	4752	3671	2607	4030
ENSG00000007933	1051	362	1653	249	2935	1558	1212	1230
ENSG00000007944	3183	2628	3720	1676	5968	4969	2999	3824
ENSG00000007952	66	103	99	24	62	46	52	94
ENSG00000007968	58	38	180	1072	170	73	124	367
ENSG00000008018	6500	9992	6160	4759	6474	5188	5791	3820
ENSG00000008056	81	56	115	36	80	95	76	76
ENSG00000008083	2028	2594	2797	1126	3432	2258	2149	2132
ENSG00000008086	3441	1099	2840	1211	3193	2173	2102	1821
ENSG00000008118	271	24	61	78	193	118	299	164
ENSG00000008128	2780	3861	2934	2185	3314	2990	2302	2944
ENSG00000008130	7190	16591	5850	7803	6896	6791	4396	5069
ENSG00000008196	0	2	10	1	34	9	4	58
ENSG00000008197	0	0	0	0	0	0	0	28
ENSG00000008226	2358	3794	8792	2537	4524	2411	1397	983
ENSG00000008256	4751	2388	6893	15463	7026	4811	4236	6821
ENSG00000008277	397	262	652	180	528	322	447	868
ENSG00000008282	8686	12235	10036	10082	9032	6822	6917	5226
ENSG00000008283	7697	15471	10569	12763	8153	8660	6229	10234
ENSG00000008294	15540	6817	10583	13314	10959	11229	9262	13180
ENSG00000008300	258	2009	433	1585	831	746	257	3708
ENSG00000008311	6575	4826	6233	2550	5418	7500	4243	4807
ENSG00000008323	648	826	456	1335	433	567	581	1356
ENSG00000008324	812	1325	765	648	821	676	756	437
ENSG00000008382	1235	1006	1418	1231	1497	823	808	986
ENSG00000008394	9529	49205	7374	28703	7182	11915	7366	4082
ENSG00000008405	4273	2014	2177	1306	2514	4532	5290	2733
ENSG00000008438	16	15	14	4	58	61	44	3
ENSG00000008441	14976	28013	28830	3308	25445	13045	10576	16129
ENSG00000008513	9077	9511	8451	2501	11054	6126	8394	1826
ENSG00000008516	890	3638	907	515	1691	1109	1913	475
ENSG00000008517	17246	1624	9234	5485	13352	7067	15087	4742
ENSG00000008710	10285	14914	24231	7289	20089	9478	9982	17167
ENSG00000008735	219	924	272	273	276	224	164	401
ENSG00000008838	23293	7978	7372	6405	7873	9120	15843	9548
ENSG00000008853	18333	40504	15809	8971	19412	14128	16367	12438
ENSG00000008869	5424	3374	3574	2218	4537	3352	2426	1803
ENSG00000008952	11376	11010	12979	6062	13239	9832	9703	12666
ENSG00000008988	38243	46491	33808	28826	33960	31950	39412	29189
ENSG00000009307	35659	37468	41877	33627	45906	34759	28669	21639
ENSG00000009335	5375	7081	6396	9227	7380	5156	4122	3871
ENSG00000009413	3187	1771	3403	1861	3618	2589	2427	2735
ENSG00000009694	551	7782	472	90	485	705	363	145
ENSG00000009709	0	36191	1	0	4	7	0	103
ENSG00000009724	1095	1145	1137	335	1117	545	670	810
ENSG00000009765	340	1886	289	326	261	2631	226	911
ENSG00000009780	2410	1659	2246	1073	2016	1939	1660	1409
ENSG00000009790	610	207	1566	911	2921	808	1017	613
ENSG00000009830	1844	3615	2250	1740	2346	1827	1377	3589
ENSG00000009844	2052	2198	2808	4367	3025	2007	1857	2225
ENSG00000009950	1336	1945	1698	245	901	384	547	648
ENSG00000009954	6168	7888	7310	6303	9445	8504	4322	7918
ENSG00000010017	4009	6206	4295	5224	4645	4549	3595	3647
ENSG00000010030	623	328	558	626	1218	493	866	341
ENSG00000010072	739	1627	882	1667	975	1010	720	728
ENSG00000010165	1500	5414	2525	3892	2809	1927	1028	2515
ENSG00000010219	1369	1373	1482	982	1240	962	916	980
ENSG00000010244	11841	12890	12172	16536	14480	13918	9636	14429
ENSG00000010256	5781	15666	6810	5906	6780	5358	4592	3491
ENSG00000010270	4028	2488	2814	1572	3139	2574	3198	2068
ENSG00000010278	37262	20849	26072	24092	29085	24905	29394	14764
ENSG00000010282	31	15	320	52	89	16	5	4
ENSG00000010292	1938	3918	4000	7673	4289	1890	1564	3357
ENSG00000010295	3008	741	5340	1455	6495	3337	2325	1293
ENSG00000010310	712	2579	2943	755	1089	495	308	559
ENSG00000010318	330	703	727	331	612	357	235	152
ENSG00000010319	7193	512	13503	424	7171	14054	4657	896
ENSG00000010322	13407	20901	20588	6393	19907	14280	8568	14813
ENSG00000010327	5605	4991	13904	9283	21328	9387	8120	7356
ENSG00000010361	1182	2418	2263	868	1535	988	1078	1139
ENSG00000010379	176	21	108	13	99	89	86	3
ENSG00000010404	21200	23532	21391	18423	26241	17054	14772	11557
ENSG00000010438	10	7	3	9	2	3	6	15
ENSG00000010539	860	1153	688	690	781	450	544	349
ENSG00000010610	6283	2153	12957	6502	18551	6437	6913	6363
ENSG00000010626	1149	1557	4185	1295	1276	837	695	589
ENSG00000010671	2120	323	2605	1075	3222	1333	1096	699
ENSG00000010704	722	1988	1507	771	1628	883	730	1206
ENSG00000010803	3404	4384	3841	2549	3652	2822	2833	2913
ENSG00000010810	5132	1289	7501	2818	7635	6173	5791	4542
ENSG00000010818	6099	5007	2888	3762	4148	5005	6654	3037
ENSG00000010932	12	12	99	162	140	45	31	108
ENSG00000011007	5660	6684	7102	3867	7805	5457	3717	5544
ENSG00000011009	3781	12851	3832	4448	3839	3900	2785	3621
ENSG00000011021	4040	5377	5104	3432	5391	4194	2837	3800
ENSG00000011028	17008	9616	27029	5927	23895	13467	12510	20429
ENSG00000011052	6323	13739	5988	23508	7137	6098	5773	7625
ENSG00000011083	22	43	23	39	15	11	9	12
ENSG00000011105	5397	4294	12299	1922	8174	7619	6084	4226
ENSG00000011114	2947	4478	3091	2789	3713	2814	2127	2286
ENSG00000011132	1675	1217	1506	1006	1891	1275	976	2311
ENSG00000011143	887	1962	1761	1325	1412	862	528	2125
ENSG00000011198	4195	2301	2190	2179	3310	2819	3494	1081
ENSG00000011201	21742	1683	14816	2052	9262	5215	4047	3952
ENSG00000011243	4238	6180	6224	2981	6164	3886	3517	8134
ENSG00000011258	1665	2392	2527	2421	3085	1853	1197	2809
ENSG00000011260	1851	2074	2076	4263	2341	1887	1502	1618
ENSG00000011275	3488	4943	5492	4890	5695	3745	3177	3715
ENSG00000011295	5283	8039	4784	3279	4183	4467	3953	5505
ENSG00000011304	16831	18136	21842	22076	22600	19440	17282	20190
ENSG00000011332	64	38	61	35	38	37	34	73
ENSG00000011347	470	18777	958	6268	548	1676	266	2427
ENSG00000011376	1131	1912	1437	1110	1545	1060	822	841
ENSG00000011405	5934	5086	6211	6130	6562	6024	4519	4451
ENSG00000011422	9815	10319	2461	6027	3979	5812	8773	1563
ENSG00000011426	85	125	245	5236	350	183	37	612
ENSG00000011451	4317	3715	6213	4092	6593	4493	3758	5148
ENSG00000011454	5639	7568	6208	4163	6339	5277	3239	3294
ENSG00000011465	40237	9015	99049	16253	130306	35573	72862	50135
ENSG00000011478	730	1521	912	1415	741	521	435	866
ENSG00000011485	3373	5665	4205	3589	4390	3436	2585	3075
ENSG00000011523	1593	2727	3650	1541	3732	2118	1350	1487
ENSG00000011566	3246	2590	3900	3090	4063	3331	2857	2783
ENSG00000011590	120	45	159	83	162	78	192	64
ENSG00000011600	11339	1435	7895	3184	10020	4638	6499	3127
ENSG00000011638	1167	3118	1925	2685	1747	1014	1032	4860
ENSG00000011677	0	6	6	0	1	15	0	1
ENSG00000012048	361	205	531	1703	636	508	236	506
ENSG00000012061	4813	6038	6096	3167	5815	5596	4997	3479
ENSG00000012124	603	152	1869	1041	1399	436	1084	523
ENSG00000012171	16724	6742	16820	9923	13041	11180	15840	3385
ENSG00000012174	1061	1516	1275	1804	1485	1015	714	1153
ENSG00000012211	1688	3107	1979	5276	2163	1625	1587	1594
ENSG00000012223	1967	22062	10383	16719	525	283	259	650
ENSG00000012232	2296	4616	4088	4297	3903	2173	2097	1649
ENSG00000012504	47	11	59	4	32	22	35	3
ENSG00000012660	13473	5419	7638	11644	10490	9600	10012	10181
ENSG00000012779	13607	1850	13634	3749	15219	4622	6917	3252
ENSG00000012817	0	0	0	0	11614	9299	4349	1763
ENSG00000012822	16471	12422	22666	5352	22107	13506	10278	23655
ENSG00000012963	2271	2573	3155	1965	3262	2161	1945	1557
ENSG00000012983	4769	3570	5171	3174	5483	4792	3155	5378
ENSG00000013016	1369	1094	2522	628	1815	1710	763	702
ENSG00000013275	3758	5911	3779	5058	3801	3604	3636	16394
ENSG00000013288	5014	17819	8642	4015	10048	5046	3910	4844
ENSG00000013293	7	1	3	2	9	5	5	2
ENSG00000013297	879	245	1612	144	922	1235	673	312
ENSG00000013306	5833	14284	5750	14046	5862	5494	4882	9359
ENSG00000013364	21424	41656	22481	25698	24085	16764	14740	16301
ENSG00000013374	4990	4877	7648	4830	8763	4898	3851	3683
ENSG00000013375	4542	4949	3697	12147	4395	4206	4424	6500
ENSG00000013392	595	897	760	1013	701	377	440	1216
ENSG00000013441	16509	12937	14863	5960	17623	15846	13477	9611
ENSG00000013503	788	871	975	875	871	648	594	763
ENSG00000013523	3445	3263	4991	2543	5209	3011	1802	3349
ENSG00000013561	2932	3705	3773	2736	3546	2728	2205	2508
ENSG00000013563	2384	4039	3523	3828	3531	2183	2017	1880
ENSG00000013573	1570	3220	3143	4363	2401	1985	1094	4204
ENSG00000013583	2901	2415	3416	2351	3553	2309	2566	1583
ENSG00000013588	135515	44702	65029	48942	82356	86628	77620	15521
ENSG00000013619	678	1299	951	433	1004	805	844	628
ENSG00000013725	1212	296	2237	1042	5269	954	1860	484
ENSG00000013810	1092	1948	1857	3901	2254	989	943	1356
ENSG00000014123	2487	3654	3754	3969	4055	2361	1762	3176
ENSG00000014138	765	738	1453	1851	1578	897	581	760
ENSG00000014164	2121	3164	2421	2850	3032	2627	1647	1644
ENSG00000014216	11220	21270	15884	15626	14298	9589	8446	6634
ENSG00000014257	353	460	544	717	593	259	728	196
ENSG00000014641	5019	6216	5837	3847	6346	3170	3728	2953
ENSG00000014824	5003	6032	5913	4182	5457	4498	3930	4297
ENSG00000014914	1568	1709	2104	4788	1402	1114	1156	2366
ENSG00000014919	2312	5159	3369	4273	3468	2258	1517	2182
ENSG00000015133	6384	3662	10835	4959	9311	6505	3997	5983
ENSG00000015153	1090	1238	1388	989	1628	1257	1238	1631
ENSG00000015171	8088	7981	9692	7726	10140	7940	6223	3138
ENSG00000015285	2266	513	2812	1660	4867	1815	2130	1063
ENSG00000015413	29	70	25	39	17	13	27	299
ENSG00000015475	1861	1714	1678	1963	2137	1262	1461	1450
ENSG00000015479	17179	19458	20210	6629	22018	18478	13741	11961
ENSG00000015520	30	12	86	4	70	34	37	84
ENSG00000015532	1762	5525	3333	3838	3325	2107	1334	3019
ENSG00000015568	63	50	26	16	23	28	24	50
ENSG00000015592	4	4	9	1	5	3	5	0
ENSG00000015676	5524	7571	7302	3742	7055	5319	4215	4957
ENSG00000016082	1	0	3	5	11	8	2	48
ENSG00000016391	1249	2831	2483	2078	2768	1162	978	1207
ENSG00000016402	3065	1496	1267	457	1314	1296	3333	1444
ENSG00000016490	1	0	1	0	1	0	0	8
ENSG00000016602	10	0	15	18	5	0	4	7
ENSG00000016864	3029	4071	4560	2445	3914	2722	2723	3536
ENSG00000017260	9880	7575	10239	4517	11468	7022	7306	7008
ENSG00000017427	363	601	809	589	1548	356	624	2194
ENSG00000017483	1145	655	2578	528	2252	983	1282	638
ENSG00000017797	3984	5496	6041	8651	6532	4238	3224	4529
ENSG00000018189	8871	6182	6221	3868	6433	5958	6146	6418
ENSG00000018236	854	47	1275	99	886	630	365	839
ENSG00000018280	30293	2296	14851	2403	18360	11525	11465	2732
ENSG00000018408	14462	3369	10155	3673	11451	14883	9419	5723
ENSG00000018510	3328	2776	3804	7175	4711	2906	2011	2355
ENSG00000018607	0	0	0	1	0	0	0	0
ENSG00000018610	1451	1612	1805	1411	1809	1283	1274	1130
ENSG00000018625	265	212	1332	41	1354	1112	326	204
ENSG00000018699	847	1087	1256	1048	1107	820	652	660
ENSG00000018869	237	126	260	188	282	243	228	199
ENSG00000019102	6810	6917	4742	791	3803	2568	5208	2259
ENSG00000019144	13113	8298	17016	9938	14013	15229	11121	10794
ENSG00000019169	33212	2489	12463	2070	29372	6878	8553	1246
ENSG00000019186	21	4552	472	29414	25	191	5	722
ENSG00000019485	2398	1729	2589	659	3616	2612	1913	1315
ENSG00000019505	54	47	30	49	22	108	31	0
ENSG00000019549	426	142	1162	592	1281	535	415	689
ENSG00000019582	323682	254338	323417	148343	582762	183919	228252	224333
ENSG00000019991	1812	315	2901	719	3759	2182	1779	2402
ENSG00000019995	5306	4718	4888	3032	5427	4488	3894	3498
ENSG00000020129	1582	3509	2420	3041	2485	2126	1282	4186
ENSG00000020181	4678	2080	11062	3250	10368	6520	4570	4777
ENSG00000020219	0	8	8	1	4	2	0	8
ENSG00000020256	482	1470	1101	1737	1436	649	383	939
ENSG00000020426	873	1128	1041	866	903	764	826	680
ENSG00000020577	4719	1856	3224	2655	4474	4352	6700	3616
ENSG00000020633	2085	441	2642	1640	4520	1965	2773	1049
ENSG00000020922	2329	2681	2556	3545	3467	2657	1194	1559
ENSG00000021300	1667	4769	3504	1972	1765	1165	1758	1258
ENSG00000021355	42093	13658	10571	13102	12280	16625	49925	4997
ENSG00000021461	15	8	13	3	23	13	2	14
ENSG00000021488	60	74	47	36	67	63	19	99
ENSG00000021574	1336	1813	1584	2157	2023	1341	1047	1486
ENSG00000021645	1554	722	1475	238	903	1045	552	1122
ENSG00000021762	3248	6055	4802	8265	4781	3976	2976	3375
ENSG00000021776	3049	3984	3509	2613	3942	3046	2209	3066
ENSG00000021826	171	23185	279	104	288	282	149	380
ENSG00000021852	723	91	505	52	890	324	460	33
ENSG00000022267	30051	1596	48410	2267	37518	24247	32806	3968
ENSG00000022277	4871	5280	5608	4505	5641	3796	4348	4170
ENSG00000022355	0	0	0	3	1	0	0	0
ENSG00000022556	1883	367	1537	3512	1318	1245	300	3509
ENSG00000022567	3264	3957	3322	2355	3027	4951	2430	2145
ENSG00000022840	10739	14471	12709	9329	12580	10518	10269	10127
ENSG00000022976	1407	3440	2186	1191	2085	1533	1076	1184
ENSG00000023041	3609	5287	3794	2950	4257	3298	2865	4423
ENSG00000023171	417	990	716	464	2020	476	329	219
ENSG00000023191	16459	19472	16437	16795	17847	12436	12207	7677
ENSG00000023228	5048	6983	6515	7106	7417	6107	3701	4560
ENSG00000023287	4711	3572	4415	4887	5082	5233	3353	2965
ENSG00000023318	4851	7877	5917	4909	6720	4437	4017	2832
ENSG00000023330	5935	3757	5731	5116	6233	3511	5721	3897
ENSG00000023445	17890	1899	2893	5179	9398	8633	8389	1455
ENSG00000023516	4112	4022	5817	3054	6533	4861	3268	2559
ENSG00000023572	419	611	252	702	394	436	240	207
ENSG00000023608	1192	694	1031	699	961	773	883	692
ENSG00000023697	2334	2131	2335	3231	2621	1769	2209	1480
ENSG00000023734	6450	7726	5420	8406	5611	5589	6035	4709
